Date,Unique Addresses,Market Price (USD),Number of Transactions,Output Volume (BTC),Hash Rate (TH/s),Total Bitcoins in Circulation
2022-05-20,668605.0,30289.87,267034.0,2433751.509894325,198848086.4143847,19045075.0
2022-05-21,579268.0,29159.5,225225.0,1526229.1838886163,209722591.14017138,19045743.75
2022-05-22,535873.0,29409.92,209047.0,1189443.3733409487,189527082.3637104,19046406.25
2022-05-23,638912.0,30278.94,265106.0,2112390.008140285,248560108.0179809,19047731.25
2022-05-24,600094.0,29074.33,235866.0,2564577.4340816108,186420081.01348567,19048393.75
2022-05-25,700322.0,29634.57,288842.0,1932187.5127403233,219801139.27751222,19049056.25
2022-05-26,653373.0,29518.59,262367.0,2321169.076322242,209555369.85718095,19049718.75
2022-05-27,688580.0,29193.92,270453.0,2809906.8668479724,205096744.96660265,19051043.75
2022-05-28,576357.0,28578.89,226794.0,1574808.3837342055,219958827.93519703,19051706.25
2022-05-29,530365.0,29013.69,207859.0,1508386.053168218,221445036.23205647,19053031.25
2022-05-30,644720.0,29448.74,271819.0,2255369.048189984,228876077.71635368,19053693.75
2022-05-31,685567.0,31715.58,276273.0,4503324.897421237,216986411.34147817,19054356.25
2022-06-01,683372.0,31776.27,272165.0,3524202.9690631144,202124328.37288374,19055681.25
2022-06-02,664442.0,29780.81,264901.0,2253835.3527373336,185776037.10742992,19056343.75
2022-06-03,678027.0,30429.88,267517.0,2018440.1884760882,212527786.45089987,19057006.25
2022-06-04,569230.0,29681.76,218629.0,1320781.9694149306,206582953.2634621,19057668.75
2022-06-05,538083.0,29845.23,201341.0,1514488.2626298196,216986411.34147817,19059000.0
2022-06-06,652057.0,29901.35,268921.0,2225862.4879331454,222931244.5289159,19059668.75
2022-06-07,648390.0,31349.82,263641.0,2490565.227489953,240765744.0912292,19061000.0
2022-06-08,656376.0,31117.83,261597.0,1886979.2493481555,266405768.7361438,19061662.5
2022-06-09,661923.0,30189.25,262105.0,1638041.460624255,219787040.37955952,19062987.5
2022-06-10,669839.0,30083.46,261856.0,2415167.275173259,221292431.06709072,19063650.0
2022-06-11,589547.0,29059.41,230002.0,2215293.909529822,231830165.87980935,19064975.0
2022-06-12,557721.0,28344.5,215473.0,2365067.8721057274,191184617.31646615,19065637.5
2022-06-13,708381.0,26593.3,272503.0,7950792.166935221,200216961.44165352,19066306.25
2022-06-14,717234.0,22431.22,283231.0,13699201.286760954,219787040.37955952,19067637.5
2022-06-15,732637.0,22189.29,296312.0,17685861.218543466,248389463.44265285,19068300.0
2022-06-16,662185.0,22550.79,251253.0,13439083.637873286,179141491.81621632,19068962.5
2022-06-17,663831.0,20350.48,251574.0,11710881.064843578,162582194.2533728,19069625.0
2022-06-18,654430.0,20434.75,247890.0,10560717.105945444,234840947.25487182,19070950.0
2022-06-19,548972.0,18977.51,199777.0,5043012.149583781,200216961.44165352,19071612.5
2022-06-20,605998.0,20540.38,236636.0,4424192.444247196,198711570.75412232,19072275.0
2022-06-21,647716.0,20582.29,254438.0,4176311.885708452,225808603.12968442,19073606.25
2022-06-22,639691.0,20703.51,255472.0,3246047.3190708146,193273708.26929793,19074268.75
2022-06-23,633984.0,19953.71,255213.0,2934106.2148207603,223431040.49785998,19074937.5
2022-06-24,650157.0,21088.3,254348.0,3655204.2786163543,189622396.21199957,19075606.25
2022-06-25,557791.0,21194.68,218017.0,1769259.0302856842,221961099.44195303,19076931.25
2022-06-26,528289.0,21481.38,206755.0,1372513.5461837812,202851865.7151624,19077593.75
2022-06-27,621986.0,21020.04,258883.0,2980504.0852102228,199911983.60334843,19078256.25
2022-06-28,624229.0,20702.23,248080.0,3984964.2167435642,214611394.16241816,19079587.5
2022-06-29,654949.0,20256.61,265079.0,4626676.379342954,221961099.44195303,19080250.0
2022-06-30,699397.0,20085.93,271213.0,4723524.188410398,251359920.5600925,19081575.0
2022-07-01,714094.0,19865.7,271874.0,4991768.387879735,196972101.49153444,19082237.5
2022-07-02,614214.0,19226.7,235096.0,3320258.447381267,202851865.7151624,19082900.0
2022-07-03,548190.0,19224.75,206333.0,3337707.842693124,227840863.6655809,19084225.0
2022-07-04,610225.0,19288.97,240385.0,3652243.870568004,210201570.99469727,19084887.5
2022-07-05,616343.0,20208.45,245829.0,3655744.988303669,173453044.59702292,19085550.0
2022-07-06,687966.0,20181.91,267118.0,3365689.613227159,186682514.1001857,19086881.25
2022-07-07,691644.0,20545.61,281435.0,2641134.5626791795,227544125.37384427,19087543.75
2022-07-08,682201.0,21633.44,268331.0,3743320.127586126,214480636.40419686,19088206.25
2022-07-09,576270.0,21636.45,220708.0,2403375.761165816,194191927.5551512,19089537.5
2022-07-10,523353.0,21582.6,199369.0,1801928.337839187,221726603.8502846,19090200.0
2022-07-11,590261.0,20834.61,229482.0,4630750.7153260335,178250799.1737582,19090868.75
2022-07-12,657668.0,19946.31,275378.0,4606410.647371236,218828216.87184954,19092200.0
2022-07-13,597185.0,19292.99,222657.0,5325507.670947687,159411283.8139301,19092862.5
2022-07-14,685931.0,20223.69,286894.0,3178632.39913464,179699992.6629758,19093525.0
2022-07-15,661194.0,20568.9,269269.0,3610616.4632015373,205785475.4688916,19094187.5
2022-07-16,577967.0,20835.61,226638.0,2729080.9262398053,214480636.40419686,19095512.5
2022-07-17,519659.0,21197.1,202157.0,1709406.4180747587,179699992.6629758,19096187.5
2022-07-18,611990.0,20774.23,247895.0,3309147.2064183163,189844347.0874986,19096850.0
2022-07-19,682638.0,22538.08,279950.0,3326550.2721271534,199988701.51202142,19097512.5
2022-07-20,642244.0,23403.29,260195.0,2573993.500964621,182598379.64141086,19098175.0
2022-07-21,686329.0,23227.22,273976.0,3759916.7023962364,199187652.45519632,19099506.25
2022-07-22,650694.0,23154.09,263276.0,3237588.5031510214,181711862.6387281,19100168.75
2022-07-23,572761.0,22687.08,223744.0,2654289.091787272,211997173.07851613,19100831.25
2022-07-24,531268.0,22461.7,199919.0,1699845.6369709196,216126988.13848722,19102156.25
2022-07-25,629329.0,22582.4,253417.0,3753288.8881868296,195477912.83863172,19102825.0
2022-07-26,655695.0,21300.72,264861.0,5210200.533501431,220256803.19845834,19104150.0
2022-07-27,644191.0,21267.33,255930.0,3749740.110883333,227139828.29841012,19104812.5
2022-07-28,697022.0,22950.29,287254.0,3178041.8131235903,194101307.8186414,19106143.75
2022-07-29,708268.0,23856.25,281608.0,3425362.2152062766,200984332.91859323,19106806.25
2022-07-30,601643.0,23792.0,232696.0,1805369.2393478816,177582047.57875702,19107468.75
2022-07-31,561055.0,23647.99,209042.0,1566853.9576974483,209243963.0385354,19108793.75
2022-08-01,635502.0,23326.49,249610.0,3451792.690272312,187218282.71868956,19109456.25
2022-08-02,663588.0,23298.94,266968.0,3848350.0719659138,213373778.09850645,19110125.0
2022-08-03,693063.0,22981.77,282037.0,4346314.72139846,199607727.89860287,19111450.0
2022-08-04,695558.0,22831.85,279707.0,3705608.540538079,183173748.80206442,19112112.5
2022-08-05,687443.0,22608.3,268463.0,4429126.362053216,210085555.03954557,19112775.0
2022-08-06,610889.0,23295.14,237677.0,2376954.013019606,225491829.07577893,19114100.0
2022-08-07,522072.0,22947.19,196161.0,1245601.1011729778,222690688.3419183,19114768.75
2022-08-08,652517.0,23174.25,256582.0,5535643.639714604,201682132.83796376,19116093.75
2022-08-09,646055.0,23816.32,256233.0,3982542.211739573,200281562.47103348,19116762.5
2022-08-10,663480.0,23156.31,264566.0,4707647.916283882,207284414.30568495,19118087.5
2022-08-11,725127.0,23959.92,287356.0,3822312.045913875,196079851.3702425,19118750.0
2022-08-12,703328.0,23953.77,273661.0,2556005.268895124,215687836.5072668,19119412.5
2022-08-13,613804.0,24418.38,233308.0,1766078.3451012822,194679281.00331223,19120737.5
2022-08-14,551189.0,24447.13,205350.0,1232189.9675736786,186275858.8017304,19121400.0
2022-08-15,620533.0,24314.89,241934.0,3447594.1144452193,203082703.20489404,19122062.5
2022-08-16,677726.0,24096.19,273896.0,3290019.3759421282,207284414.30568495,19123387.5
2022-08-17,648642.0,23876.29,256127.0,3486262.9541284684,180673577.33400917,19124056.25
2022-08-18,685923.0,23332.09,291921.0,2472311.307709068,202403376.03316846,19124718.75
2022-08-19,736405.0,23193.99,279910.0,4540414.320883608,250867150.78611156,19126043.75
2022-08-20,597278.0,20843.22,222722.0,4251579.265391692,209995536.33219454,19126706.25
2022-08-21,549247.0,21150.33,205435.0,2235957.7253973833,205767438.2852376,19128031.25
2022-08-22,629040.0,21520.51,250534.0,5140360.63634013,204358072.2695853,19128693.75
2022-08-23,641154.0,21402.93,256928.0,5178174.48151587,242410954.69219768,19130031.25
2022-08-24,649399.0,21516.02,256606.0,3602882.929386728,205767438.2852376,19130693.75
2022-08-25,656808.0,21377.51,260460.0,3252453.4203076763,224089196.48871768,19132018.75
